Menuiseries extérieures;Fenêtres et portes-fenêtres;fenêtres/portes-fenêtres oscillo battantes;bois;niveau difficulté 3;;m2;860 €;;650 €;715 €;894 €;804 €;885 €;1.106 €;774 €;852 €;1.065 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;fenêtres/portes-fenêtres oscillo battantes;alu;niveau difficulté 1;;m2;927 €;;700 €;770 €;963 €;866 €;953 €;1.191 €;834 €;917 €;1.146 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;fenêtres/portes-fenêtres oscillo battantes;alu;niveau difficulté 2;;m2;993 €;;750 €;825 €;1.031 €;928 €;1.021 €;1.276 €;893 €;983 €;1.228 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;fenêtres/portes-fenêtres oscillo battantes;alu;niveau difficulté 3;;m2;1.059 €;;800 €;880 €;1.100 €;990 €;1.089 €;1.361 €;953 €;1.048 €;1.310 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;fenêtres/portes-fenêtres oscillo battantes;mixte bois/alu;niveau difficulté 1;;m2;1.125 €;;850 €;935 €;1.169 €;1.052 €;1.157 €;1.446 €;1.012 €;1.114 €;1.392 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;fenêtres/portes-fenêtres oscillo battantes;mixte bois/alu;niveau difficulté 2;;m2;1.191 €;;900 €;990 €;1.238 €;1.114 €;1.225 €;1.531 €;1.072 €;1.179 €;1.474 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;fenêtres/portes-fenêtres oscillo battantes;mixte bois/alu;niveau difficulté 3;;m2;1.258 €;;950 €;1.045 €;1.306 €;1.176 €;1.293 €;1.616 €;1.132 €;1.245 €;1.556 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;PVC;niveau difficulté 1;;m2;530 €;;400 €;440 €;550 €;495 €;545 €;681 €;476 €;524 €;655 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;PVC;niveau difficulté 2;;m2;596 €;;450 €;495 €;619 €;557 €;613 €;766 €;536 €;590 €;737 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;PVC;niveau difficulté 3;;m2;662 €;;500 €;550 €;688 €;619 €;681 €;851 €;596 €;655 €;819 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;bois;niveau difficulté 1;;m2;728 €;;550 €;605 €;756 €;681 €;749 €;936 €;655 €;721 €;901 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;bois;niveau difficulté 2;;m2;794 €;;600 €;660 €;825 €;743 €;817 €;1.021 €;715 €;786 €;983 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;bois;niveau difficulté 3;;m2;860 €;;650 €;715 €;894 €;804 €;885 €;1.106 €;774 €;852 €;1.065 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;alu;niveau difficulté 1;;m2;927 €;;700 €;770 €;963 €;866 €;953 €;1.191 €;834 €;917 €;1.146 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;alu;niveau difficulté 2;;m2;993 €;;750 €;825 €;1.031 €;928 €;1.021 €;1.276 €;893 €;983 €;1.228 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;alu;niveau difficulté 3;;m2;1.059 €;;800 €;880 €;1.100 €;990 €;1.089 €;1.361 €;953 €;1.048 €;1.310 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;mixte bois/alu;niveau difficulté 1;;m2;1.125 €;;850 €;935 €;1.169 €;1.052 €;1.157 €;1.446 €;1.012 €;1.114 €;1.392 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;mixte bois/alu;niveau difficulté 2;;m2;1.191 €;;900 €;990 €;1.238 €;1.114 €;1.225 €;1.531 €;1.072 €;1.179 €;1.474 €
Menuiseries extérieures;Fenêtres et portes-fenêtres;portes-fenêtres coulissantes;mixte bois/alu;niveau difficulté 3;;m2;1.258 €;;950 €;1.045 €;1.306 €;1.176 €;1.293 €;1.616 €;1.132 €;1.245 €;1.556 €
Menuiseries extérieures;Portes;porte d'entrée;PVC;niveau difficulté 1;;m2;1.307 €;;2.000 €;950 €;1.045 €;1.306 €;1.176 €;1.293 €;1.616 €;1.132 €;1.245 €
Menuiseries extérieures;Portes;porte d'entrée;PVC;niveau difficulté 2;;m2;3.310 €;;2.500 €;2.750 €;3.438 €;3.094 €;3.403 €;4.254 €;2.978 €;3.276 €;4.094 €
Menuiseries extérieures;Portes;porte d'entrée;PVC;niveau difficulté 3;;m2;3.971 €;;3.000 €;3.300 €;4.125 €;3.713 €;4.084 €;5.105 €;3.573 €;3.931 €;4.913 €
Menuiseries extérieures;Portes;porte d'entrée;bois;niveau difficulté 1;;m2;4.633 €;;3.500 €;3.850 €;4.813 €;4.331 €;4.764 €;5.955 €;4.169 €;4.586 €;5.732 €
Menuiseries extérieures;Portes;porte d'entrée;bois;niveau difficulté 2;;m2;5.295 €;;4.000 €;4.400 €;5.500 €;4.950 €;5.445 €;6.806 €;4.764 €;5.241 €;6.551 €
Menuiseries extérieures;Portes;porte d'entrée;bois;niveau difficulté 3;;m2;5.957 €;;4.500 €;4.950 €;6.188 €;5.569 €;6.126 €;7.657 €;5.360 €;5.896 €;7.370 €
Menuiseries extérieures;Portes;porte d'entrée;alu;niveau difficulté 1;;m2;6.619 €;;5.000 €;5.500 €;6.875 €;6.188 €;6.806 €;8.508 €;5.955 €;6.551 €;8.189 €
Menuiseries extérieures;Portes;porte d'entrée;alu;niveau difficulté 2;;m2;7.281 €;;5.500 €;6.050 €;7.563 €;6.806 €;7.487 €;9.359 €;6.551 €;7.206 €;9.008 €
Menuiseries extérieures;Portes;porte d'entrée;alu;niveau difficulté 3;;m2;1.059 €;;800 €;880 €;1.100 €;990 €;1.089 €;1.361 €;953 €;1.048 €;1.310 €
Façades;isolation ;Isolation par l'intérieur;Isolation ;isolation laine de bois 18cm (R=4,5w/m2K);;m2;132 €;;100 €;110 €;138 €;124 €;136 €;170 €;119 €;131 €;164 €
Façades;isolation ;Isolation par l'intérieur;Isolation ;isolation laine de verre 15cm (R=4,5w/m2K);;m2;93 €;;70 €;77 €;96 €;87 €;95 €;119 €;83 €;92 €;115 €
Façades;isolation ;Isolation par l'intérieur;pare-vapeur;;;m2;33 €;;25 €;28 €;34 €;31 €;34 €;43 €;30 €;33 €;41 €
Façades;isolation ;Isolation par l'intérieur;structure bois secondaire;;;m2;79 €;;60 €;66 €;83 €;74 €;82 €;102 €;71 €;79 €;98 €
Façades;isolation ;Isolation par l'intérieur;parachèvement intérieur;;;m2;119 €;;90 €;99 €;124 €;111 €;123 €;153 €;107 €;118 €;147 €
Façades;isolation ;Isolation par l'intérieur;pas de parachèvement intérieur;;;m2;0 €;;0 €;0 €;0 €;0 €;0 €;0 €;0 €;0 €;0 €
